Date,AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,VZ,WMT,XOM,,AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,VZ,WMT,XOM
2007-12-24 00:00:00,75.7106170654297,40.8922729492188,65.9733734130859,31.4366989135742,46.5558700561523,19.4764537811279,50.2527084350586,36.1661834716797,28.1086330413818,106.961135864258,17.8640785217285,15.9648952484131,62.3535270690918,16.8190879821777,42.0887413024902,29.2541542053223,19.0986881256104,38.1255874633789,39.4351959228516,31.9932670593262,26.5690631866455,11.5115213394165,45.7113265991211,9.19169330596924,37.0090599060059,18.2103481292725,11.4089765548706,52.2342033386231,,0.018,0.025,0.011,0.009,0.000,0.004,0.005,-0.003,0.009,0.011,0.013,0.006,0.005,0.013,-0.002,0.016,0.002,0.005,0.002,0.010,0.014,0.004,-0.002,0.000,0.026,0.011,0.011,0.002
2007-12-26 00:00:00,76.5288848876953,40.6311378479004,65.9587478637695,31.4515762329102,47.1898536682129,19.2458820343018,50.4441833496094,35.9902801513672,27.7534694671631,107.018119812012,17.8508472442627,16.1022090911865,62.3032684326172,16.905309677124,41.8964881896973,29.3259181976318,19.0382614135742,37.8537712097168,39.3483352661133,31.8219223022461,26.5908660888672,11.4473810195923,45.7731323242188,9.36888313293457,36.4782371520996,18.3363876342773,11.3247060775757,52.8755416870117,,0.011,-0.006,0.000,0.000,0.014,-0.012,0.004,-0.005,-0.013,0.001,-0.001,0.009,-0.001,0.005,-0.005,0.002,-0.003,-0.007,-0.002,-0.005,0.001,-0.006,0.001,0.019,-0.014,0.007,-0.007,0.012
2007-12-27 00:00:00,75.6697082519531,39.248592376709,65.1379013061523,30.8270072937012,46.5751037597656,18.8457660675049,49.8644409179688,35.7858924865723,27.4236736297607,105.992088317871,17.7053451538086,15.7482442855835,61.2086486816406,16.523473739624,41.7538604736328,28.4775924682617,18.8237419128418,37.4175643920898,39.0420455932617,31.3666915893555,26.1260089874268,11.3092136383057,45.6804008483887,9.30686378479004,36.3438529968262,18.0436553955078,11.1819171905518,52.2397689819336,,-0.011,-0.034,-0.012,-0.020,-0.013,-0.021,-0.011,-0.006,-0.012,-0.010,-0.008,-0.022,-0.018,-0.023,-0.003,-0.029,-0.011,-0.012,-0.008,-0.014,-0.017,-0.012,-0.002,-0.007,-0.004,-0.016,-0.013,-0.012
2007-12-28 00:00:00,75.4037704467773,39.0488891601563,64.6762084960938,30.5593280792236,46.8504486083984,18.6897945404053,50.4548149108887,35.6259346008301,27.4152126312256,106.419593811035,17.645809173584,15.6719617843628,61.4823150634766,16.4803657531738,41.7848587036133,28.2296333312988,18.8146800994873,37.6135444641113,38.900318145752,31.4416637420654,26.2349605560303,11.2993507385254,45.9029541015625,9.39988994598389,36.3774528503418,18.1412334442139,11.2544832229614,52.9815139770508,,-0.004,-0.005,-0.007,-0.009,0.006,-0.008,0.012,-0.004,0.000,0.004,-0.003,-0.005,0.004,-0.003,0.001,-0.009,0.000,0.005,-0.004,0.002,0.004,-0.001,0.005,0.010,0.001,0.005,0.006,0.014
2007-12-31 00:00:00,74.769645690918,39.9552268981934,64.0972290039063,30.6782970428467,46.4662170410156,18.3574981689453,49.641040802002,35.0305442810059,27.2968254089356,105.650100708008,17.8177757263184,15.4034423828125,60.3709411621094,16.4187870025635,41.363166809082,28.4841346740723,18.5427417755127,37.2405815124512,38.5482902526856,31.1203441619873,25.8572673797607,11.2154684066773,45.3898315429688,9.20498085021973,36.1489982604981,17.7631187438965,11.1257410049439,52.2509422302246,,-0.008,0.023,-0.009,0.004,-0.008,-0.018,-0.016,-0.017,-0.004,-0.007,0.010,-0.017,-0.018,-0.004,-0.010,0.009,-0.014,-0.010,-0.009,-0.010,-0.014,-0.007,-0.011,-0.021,-0.006,-0.021,-0.011,-0.014
2008-01-02 00:00:00,73.9104232788086,39.3386268615723,63.4816398620606,30.1578178405762,45.2302780151367,17.9980907440186,49.7101783752441,34.4351539611816,26.9247550964356,104.766616821289,17.2688236236572,15.1501731872559,58.4665718078613,15.6120042800903,40.8732643127441,27.7600193023682,18.4581413269043,36.7285346984863,37.8122749328613,30.7240467071533,25.5812683105469,11.3042812347412,44.7036094665527,9.08094787597656,35.1814346313477,17.5679721832275,10.9782695770264,52.1505393981934,,-0.011,-0.015,-0.010,-0.017,-0.027,-0.020,0.001,-0.017,-0.014,-0.008,-0.031,-0.016,-0.032,-0.049,-0.012,-0.025,-0.005,-0.014,-0.019,-0.013,-0.011,0.008,-0.015,-0.013,-0.027,-0.011,-0.013,-0.002
2008-01-03 00:00:00,74.0331420898438,38.8530654907227,63.7454338073731,29.9644966125488,45.0701904296875,18.1404972076416,50.3218536376953,34.2396469116211,26.8655586242676,104.880607604981,17.0770225524902,15.1501731872559,58.5838279724121,15.1932315826416,40.8856773376465,27.5691032409668,18.6515140533447,36.6210632324219,37.8076858520508,30.6972694396973,25.6901988983154,11.4375057220459,44.7036094665527,9.16732788085938,35.6517868041992,17.6492786407471,10.8565483093262,52.3290176391602,,0.002,-0.012,0.004,-0.006,-0.004,0.008,0.012,-0.006,-0.002,0.001,-0.011,0.000,0.002,-0.027,0.000,-0.007,0.010,-0.003,0.000,-0.001,0.004,0.012,0.000,0.010,0.013,0.005,-0.011,0.003
2008-01-04 00:00:00,71.3329010009766,37.8742256164551,62.8952980041504,29.6298999786377,43.8854789733887,17.713264465332,49.6516838073731,32.8711280822754,26.3243579864502,102.714614868164,16.508228302002,14.3018836975098,56.4784240722656,13.9615106582642,40.8298530578613,26.9437408447266,18.6877727508545,36.0647621154785,37.3779449462891,30.4455547332764,24.9711475372315,11.2648105621338,44.5243339538574,9.05658340454102,34.5296745300293,17.3199615478516,10.7020587921143,51.3530311584473,,-0.036,-0.025,-0.013,-0.011,-0.026,-0.024,-0.013,-0.040,-0.020,-0.021,-0.033,-0.056,-0.036,-0.081,-0.001,-0.023,0.002,-0.015,-0.011,-0.008,-0.028,-0.015,-0.004,-0.012,-0.031,-0.019,-0.014,-0.019
2008-01-07 00:00:00,67.7324752807617,38.0437927246094,60.7333221435547,29.6670818328857,44.0135612487793,17.7200355529785,49.0027694702148,33.0399589538574,26.3497295379639,103.113594055176,16.7794017791748,13.8380765914917,55.875244140625,14.0908327102661,41.4623794555664,27.2136459350586,19.1288967132568,36.6842765808106,37.0807876586914,31.0185928344727,25.1382083892822,11.4621772766113,44.8148803710938,9.17618942260742,34.9664192199707,17.6248874664307,10.8986825942993,50.8734321594238,,-0.050,0.004,-0.034,0.001,0.003,0.000,-0.013,0.005,0.001,0.004,0.016,-0.032,-0.011,0.009,0.015,0.010,0.024,0.017,-0.008,0.019,0.007,0.018,0.007,0.013,0.013,0.018,0.018,-0.009
2008-01-08 00:00:00,63.4160842895508,36.9570579528809,58.5640335083008,28.5592269897461,43.0017395019531,17.2453327178955,48.3751373291016,32.773380279541,25.825439453125,100.890579223633,16.3627262115479,13.1789741516113,54.5013847351074,13.7090082168579,41.5120086669922,26.1340427398682,19.2074718475342,36.0837173461914,36.6693420410156,31.9504356384277,24.2956657409668,11.5805969238281,44.9323501586914,8.78572177886963,33.8980865478516,17.2429866790772,10.760576248169,50.2208938598633,,-0.064,-0.029,-0.036,-0.037,-0.023,-0.027,-0.013,-0.008,-0.020,-0.022,-0.025,-0.048,-0.025,-0.027,0.001,-0.040,0.004,-0.016,-0.011,0.030,-0.034,0.010,0.003,-0.043,-0.031,-0.022,-0.013,-0.013
